,index,Participant ID,Song ID,Ornamentation,Grooviness,Familiarity,Liking,Consonance,Valence,Excitement,Vocal Range,Sound Quality,Tempo,Rhythmic Regularity,Vocal Tension,Vocal Texture
71,1,103,6,0.0,50.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,50.0,50.0,100.0
72,2,103,7,50.0,50.0,50.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,50.0,0.0,100.0
73,3,103,8,50.0,0.0,50.0,50.0,50.0,50.0,100.0,50.0,0.0,50.0,50.0,0.0,50.0
74,4,103,9,0.0,100.0,100.0,50.0,100.0,100.0,50.0,100.0,50.0,100.0,50.0,50.0,50.0
75,0,104,5,0.0,50.0,50.0,100.0,100.0,100.0,0.0,50.0,50.0,50.0,50.0,50.0,50.0
76,1,104,6,50.0,50.0,0.0,0.0,0.0,50.0,100.0,50.0,50.0,0.0,0.0,0.0,50.0
77,2,104,7,50.0,0.0,0.0,0.0,50.0,50.0,100.0,50.0,50.0,0.0,50.0,0.0,100.0
78,3,104,8,50.0,0.0,0.0,50.0,0.0,50.0,100.0,50.0,50.0,50.0,0.0,0.0,50.0
79,4,104,9,0.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,100.0
80,0,105,5,0.0,50.0,50.0,100.0,100.0,100.0,0.0,50.0,50.0,100.0,100.0,100.0,50.0
81,1,105,6,0.0,50.0,100.0,50.0,50.0,50.0,50.0,0.0,50.0,100.0,50.0,0.0,50.0
82,2,105,7,50.0,50.0,50.0,0.0,50.0,50.0,50.0,50.0,50.0,100.0,50.0,0.0,100.0
83,3,105,8,50.0,50.0,50.0,50.0,100.0,50.0,50.0,100.0,50.0,100.0,50.0,0.0,100.0
84,4,105,9,50.0,50.0,50.0,50.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,50.0,100.0
85,0,106,5,0.0,100.0,100.0,100.0,100.0,100.0,0.0,50.0,50.0,100.0,100.0,100.0,50.0
86,1,106,6,0.0,50.0,100.0,50.0,50.0,50.0,100.0,50.0,50.0,50.0,0.0,50.0,100.0
